id,filename,folder,source_to_capture,pattern,ritmofit_comparison,borrow_principle,avoid_copying
01,spotify-web-persistent-player-bar.png,01-spotify-pattern-references,Spotify web player,Persistent player bar,live.html,Persistent controls; available but not dominant,"Exact Spotify controls, green accent, passive listening assumptions"
02,spotify-web-playlist-track-list-density.png,01-spotify-pattern-references,Spotify web playlist,Playlist / track list density,builder.html,Scannable dense metadata hierarchy,"Consumer library hierarchy, album-art-first bias"
03,spotify-web-queue-up-next-panel.png,01-spotify-pattern-references,Spotify web queue,Queue / up-next panel,live.html,Upcoming state and secondary panel behavior,Passive queue assumptions
04,spotify-web-active-track-state.png,01-spotify-pattern-references,Spotify web playlist or player,Current active item state,builder.html and live.html,Unmistakable current-state encoding,Hue-only meaning or exact active-row styling
05,spotify-mobile-now-playing-focus-mode.png,01-spotify-pattern-references,Spotify mobile now playing,Focused mobile playback,live.html,Reduced cognitive load and dominant current item,Artwork-first entertainment focus
06,spotify-mobile-playlist-detail-hierarchy.png,01-spotify-pattern-references,Spotify mobile playlist,Small-screen playlist detail,builder.html responsive/mobile,Compact hierarchy and primary actions,Hidden instructor-critical structure
07,spotify-mobile-library-organization.png,01-spotify-pattern-references,Spotify mobile library,Library organization,class library/templates,Filters and saved content retrieval,Consumer music taxonomy
08,spotify-mobile-search-browse-density.png,01-spotify-pattern-references,Spotify mobile search/browse,Search / browse density,explore.html,Scan-friendly discovery grid,Loud category color that breaks reserved channels
09,spotify-web-pricing-card-hierarchy.png,01-spotify-pattern-references,Spotify pricing,Pricing card hierarchy,marketing/pricing,Clear plan comparison and CTA hierarchy,Spotify tier messaging and exact card style
10,spotify-mobile-onboarding-signup-flow.png,01-spotify-pattern-references,Spotify mobile onboarding,Onboarding / signup,login.html/signup,Simple entry and progressive disclosure,Consumer entertainment onboarding assumptions
11,fitness-app-live-class-energy.png,02-adjacent-category-references,Peloton / Apple Fitness+ / Nike Training Club,Fitness live class energy,live.html,Athletic clarity and coaching energy,Overly glossy coaching visuals that distract from instruction
12,music-creation-rhythm-timeline.png,02-adjacent-category-references,Ableton / DJ software / music creation UI,Rhythm timeline / sequencing,builder.html,Cue sequencing and temporal structure,Full NLE complexity trap
13,athletic-app-training-hierarchy.png,02-adjacent-category-references,Nike Training Club / athletic app,Training hierarchy,index.html/live.html,Performance intent and action clarity,Generic fitness-app sameness
